Date,Open,High,Low,Close,Volume,Company,Ticker
2024-01-24,220.7578631042886,224.50746587463743,219.37519136128267,224.06219482421875,11708750,Wipro,WIPRO.NS
2024-01-25,224.0621704497216,224.67148941577847,219.60951764431206,220.2891387939453,12852980,Wipro,WIPRO.NS
2024-01-29,220.28915050417876,223.57005274573038,220.28915050417876,221.69525146484375,10051300,Wipro,WIPRO.NS
2024-01-30,222.35141943280718,226.33537198233284,220.9921914236886,221.4608917236328,11828014,Wipro,WIPRO.NS
2024-01-31,221.46091570351047,224.92929543793548,219.82046447607703,224.10906982421875,10584480,Wipro,WIPRO.NS
2024-02-01,223.82782354969277,223.89814003788726,220.5703650322089,220.92189025878906,7828120,Wipro,WIPRO.NS
2024-02-02,222.63265561549025,228.02270938302317,222.63265561549025,226.4525604248047,16296222,Wipro,WIPRO.NS
2024-02-05,226.38225855382683,229.42881068757399,224.5777594292722,226.07760620117188,11566604,Wipro,WIPRO.NS
2024-02-06,227.17905026562138,235.19381427499238,226.42912689474963,234.1861114501953,29024038,Wipro,WIPRO.NS
2024-02-07,234.79542965631617,235.1469548942664,230.858335548395,232.10040283203125,9103534,Wipro,WIPRO.NS
2024-02-08,232.4284923945257,234.39703951558627,227.36653451694,229.12416076660156,11303840,Wipro,WIPRO.NS
2024-02-09,230.0849910407426,231.8894901868986,226.2650861803442,229.87408447265625,7893788,Wipro,WIPRO.NS
2024-02-12,230.1318610080605,239.41212177941034,230.1318610080605,235.02978515625,48873500,Wipro,WIPRO.NS
2024-02-13,235.80314127087928,240.44327172413398,230.45996031550723,239.78709411621094,22373576,Wipro,WIPRO.NS
2024-02-14,236.20153383503916,242.31806733749582,232.96749015883574,241.1463165283203,22594656,Wipro,WIPRO.NS
2024-02-15,242.2946231696187,245.05993774520698,240.46668057663325,243.02110290527344,14570776,Wipro,WIPRO.NS
2024-02-16,244.8959159499813,255.44167309615275,244.16943617912892,254.5042724609375,34942644,Wipro,WIPRO.NS
2024-02-19,255.86350970133537,255.86350970133537,249.04389733094627,251.19993591308594,18602758,Wipro,WIPRO.NS
2024-02-20,251.12961901820466,252.23108190506485,246.65353680335505,249.32513427734375,10374126,Wipro,WIPRO.NS
2024-02-21,251.1765104066625,251.36397336846022,243.4898137930316,244.38035583496094,13115574,Wipro,WIPRO.NS
2024-02-22,245.0365273229982,249.81727642059172,244.4037933190335,248.90330505371094,14596482,Wipro,WIPRO.NS
2024-02-23,250.75466910670673,253.68404608225237,249.9578728479189,251.29368591308594,19860994,Wipro,WIPRO.NS
2024-02-26,251.34053556113741,251.4577106359911,246.5597867856682,249.77040100097656,8820636,Wipro,WIPRO.NS
2024-02-27,250.28595455272642,251.87954697964815,247.2628319644988,249.0907745361328,10399260,Wipro,WIPRO.NS
2024-02-28,248.41117221569402,248.85644324582205,241.38066734166495,242.6461639404297,12789056,Wipro,WIPRO.NS
2024-02-29,242.4586579816602,245.71613076812264,240.53699820632337,243.06796264648438,14462764,Wipro,WIPRO.NS
2024-03-01,244.8490563149495,246.1614114772042,242.57584261994688,243.3023223876953,9420630,Wipro,WIPRO.NS
2024-03-04,245.1068328334668,246.72385462438982,243.04454002660896,243.95851135253906,5662370,Wipro,WIPRO.NS
2024-03-05,242.66958439611759,243.9585102427411,239.34180934956996,240.5838623046875,10521548,Wipro,WIPRO.NS
2024-03-06,240.771359776474,241.3103479794192,234.3501596798078,240.51358032226562,11091922,Wipro,WIPRO.NS
2024-03-07,240.7947951722908,243.91166381788676,239.27151909577512,241.61502075195312,9707982,Wipro,WIPRO.NS
2024-03-11,242.50555181724107,243.23203157624292,240.11516307211664,241.16973876953125,11131512,Wipro,WIPRO.NS
2024-03-12,240.32608988404874,244.8959180193378,237.9825882762082,239.43556213378906,11652760,Wipro,WIPRO.NS
2024-03-13,240.8182253371664,243.11486841139475,232.85031967738382,236.41244506835938,13580480,Wipro,WIPRO.NS
2024-03-14,234.88916223268663,243.20860720655952,232.0769603159742,242.76333618164062,12825472,Wipro,WIPRO.NS
2024-03-15,241.26349372052132,242.90394486772254,237.34984312290723,242.3180694580078,13649086,Wipro,WIPRO.NS
2024-03-18,242.78676186731207,243.04454131773954,238.56845905494563,239.1309051513672,6393960,Wipro,WIPRO.NS
2024-03-19,238.56847793542434,238.56847793542434,231.13957453388622,231.93637084960938,9617386,Wipro,WIPRO.NS
2024-03-20,232.49879953856632,234.93604704481007,229.28821363030974,231.30361938476562,8385344,Wipro,WIPRO.NS
2024-03-21,234.18612732874703,236.8342814490548,233.62369549015753,234.56109619140625,11644580,Wipro,WIPRO.NS
2024-03-22,229.31162736941172,230.01467783656372,224.7652286270561,228.30392456054688,28646502,Wipro,WIPRO.NS
2024-03-26,227.78835740258748,230.1084297272015,224.53088443022622,224.90585327148438,18273346,Wipro,WIPRO.NS
2024-03-27,224.83553532000147,225.42141068376674,220.8750121395091,221.3671417236328,14320668,Wipro,WIPRO.NS
2024-03-28,223.4294624430841,226.40569822106127,222.77327051056673,225.02304077148438,15455150,Wipro,WIPRO.NS
2024-04-01,226.71034349019942,227.97582573288165,225.70262639050296,227.2962188720703,6041008,Wipro,WIPRO.NS
2024-04-02,225.89012998416928,226.24165523201043,224.7886813468805,225.53860473632812,6932654,Wipro,WIPRO.NS
2024-04-03,224.9761360376589,228.5851339413687,223.07790561128016,226.47598266601562,13794516,Wipro,WIPRO.NS
2024-04-04,227.69461092511693,230.57712935106778,224.78867750808175,228.4445343017578,16004046,Wipro,WIPRO.NS
2024-04-05,228.02269978113915,228.3273521205382,226.17132784359399,227.34307861328125,6414344,Wipro,WIPRO.NS
2024-04-08,229.66315149608945,230.41307485149022,224.13249356925562,224.9292755126953,26640770,Wipro,WIPRO.NS
